[54.232.250.8] out: servers started
[52.25.56.120] out: got 512 TXs
[52.25.56.120] out: timestampB (2, 1447170039.036226)
[52.33.103.236] out: got 512 TXs
[52.33.103.236] out: timestampB (3, 1447170039.063107)
[52.24.127.191] out: got 512 TXs
[52.24.127.191] out: timestampB (4, 1447170038.985067)
[52.27.237.141] out: got 512 TXs
[52.27.237.141] out: timestampB (6, 1447170038.768608)
[52.33.208.21] out: got 512 TXs
[52.33.208.21] out: timestampB (5, 1447170039.063824)
[52.26.214.226] out: got 512 TXs
[52.26.214.226] out: timestampB (7, 1447170039.190537)
[52.25.82.27] out: got 512 TXs
[52.25.82.27] out: timestampB (0, 1447170039.114322)
[52.32.155.30] out: got 512 TXs
[52.32.155.30] out: timestampB (1, 1447170039.118294)
[52.9.72.86] out: got 512 TXs
[52.9.72.86] out: timestampB (9, 1447170039.388410)
[52.9.74.238] out: got 512 TXs
[52.9.74.238] out: timestampB (11, 1447170039.290284)
[52.9.74.240] out: got 512 TXs
[52.9.74.240] out: timestampB (12, 1447170039.329059)
[52.9.64.216] out: got 512 TXs
[52.9.64.216] out: timestampB (8, 1447170039.375843)
[52.9.74.239] out: got 512 TXs
[52.9.74.239] out: timestampB (14, 1447170039.344940)
[52.8.19.154] out: got 512 TXs
[52.8.19.154] out: timestampB (10, 1447170039.562799)
[52.9.74.241] out: got 512 TXs
[52.9.74.241] out: timestampB (13, 1447170039.362361)
[52.8.92.220] out: got 512 TXs
[52.8.92.220] out: timestampB (15, 1447170039.943466)
[107.21.5.236] out: got 512 TXs
[107.21.5.236] out: timestampB (21, 1447170039.542732)
[52.91.78.88] out: got 512 TXs
[52.91.78.88] out: timestampB (22, 1447170039.573482)
[52.23.168.188] out: got 512 TXs
[52.23.168.188] out: timestampB (23, 1447170039.567440)
[54.209.228.153] out: got 512 TXs
[54.209.228.153] out: timestampB (17, 1447170040.343124)
[54.236.248.119] out: got 512 TXs
[54.236.248.119] out: timestampB (18, 1447170039.556057)
[52.91.97.171] out: got 512 TXs
[52.91.97.171] out: timestampB (19, 1447170039.556648)
[107.21.6.4] out: got 512 TXs
[107.21.6.4] out: timestampB (20, 1447170039.573511)
[54.208.194.6] out: got 512 TXs
[54.208.194.6] out: timestampB (16, 1447170039.580684)
[52.31.39.64] out: got 512 TXs
[52.31.39.64] out: timestampB (36, 1447170041.837970)
[52.30.176.61] out: got 512 TXs
[52.30.176.61] out: timestampB (39, 1447170041.931039)
[52.16.85.22] out: got 512 TXs
[52.16.85.22] out: timestampB (34, 1447170041.853219)
[52.31.124.103] out: got 512 TXs
[52.31.124.103] out: timestampB (37, 1447170041.753478)
[52.31.41.124] out: got 512 TXs
[52.31.41.124] out: timestampB (38, 1447170041.864946)
[52.17.24.113] out: got 512 TXs
[52.17.24.113] out: timestampB (33, 1447170042.078189)
[52.31.164.91] out: got 512 TXs
[52.31.164.91] out: timestampB (35, 1447170041.999150)
[52.19.164.11] out: got 512 TXs
[52.19.164.11] out: timestampB (32, 1447170042.912294)
[52.69.197.55] out: got 512 TXs
[52.69.197.55] out: timestampB (58, 1447170042.516729)
[52.69.156.69] out: got 512 TXs
[52.69.156.69] out: timestampB (62, 1447170042.623360)
[52.192.140.223] out: got 512 TXs
[52.192.140.223] out: timestampB (61, 1447170043.150344)
[52.69.80.131] out: got 512 TXs
[52.69.80.131] out: timestampB (56, 1447170042.741889)
[52.69.246.137] out: got 512 TXs
[52.69.246.137] out: timestampB (63, 1447170042.548776)
[52.69.97.238] out: got 512 TXs
[52.69.97.238] out: timestampB (57, 1447170042.719242)
[52.192.55.120] out: got 512 TXs
[52.192.55.120] out: timestampB (59, 1447170042.723308)
[52.192.75.43] out: got 512 TXs
[52.192.75.43] out: timestampB (60, 1447170042.776005)
[52.29.120.70] out: got 512 TXs
[52.29.120.70] out: timestampB (42, 1447170042.847042)
[52.29.95.105] out: got 512 TXs
[52.29.95.105] out: timestampB (47, 1447170043.224577)
[52.29.43.107] out: got 512 TXs
[52.29.43.107] out: timestampB (41, 1447170042.890720)
[52.29.43.33] out: got 512 TXs
[52.29.43.33] out: timestampB (45, 1447170042.960778)
[52.28.65.114] out: got 512 TXs
[52.28.65.114] out: timestampB (44, 1447170043.022403)
[52.29.137.216] out: got 512 TXs
[52.29.137.216] out: timestampB (40, 1447170042.929350)
[52.29.143.40] out: got 512 TXs
[52.29.143.40] out: timestampB (43, 1447170043.017192)
[52.29.145.149] out: got 512 TXs
[52.29.145.149] out: timestampB (46, 1447170043.042397)
[54.169.248.67] out: got 512 TXs
[54.169.248.67] out: timestampB (48, 1447170045.878419)
[54.169.246.15] out: got 512 TXs
[54.169.246.15] out: timestampB (49, 1447170045.995709)
[54.179.157.121] out: got 512 TXs
[54.179.157.121] out: timestampB (54, 1447170046.040377)
[54.179.164.162] out: got 512 TXs
[54.179.164.162] out: timestampB (53, 1447170046.072672)
[54.169.238.113] out: got 512 TXs
[54.169.238.113] out: timestampB (51, 1447170046.052343)
[54.233.97.117] out: got 512 TXs
[54.233.97.117] out: timestampB (27, 1447170046.262904)
[54.233.107.89] out: got 512 TXs
[54.233.107.89] out: timestampB (29, 1447170046.129519)
[54.232.250.8] out: got 512 TXs
[54.232.250.8] out: timestampB (28, 1447170046.090119)
[54.232.199.192] out: got 512 TXs
[54.232.199.192] out: timestampB (25, 1447170046.227387)
[54.94.243.208] out: got 512 TXs
[54.94.243.208] out: timestampB (26, 1447170046.692047)
[54.169.212.80] out: got 512 TXs
[54.169.212.80] out: timestampB (55, 1447170045.645823)
[54.232.218.195] out: got 512 TXs
[54.232.218.195] out: timestampB (31, 1447170046.080931)
[54.169.246.32] out: got 512 TXs
[54.169.246.32] out: timestampB (50, 1447170046.053964)
[54.207.93.82] out: got 512 TXs
[54.207.93.82] out: timestampB (24, 1447170046.191503)
[54.233.104.96] out: got 512 TXs
[54.233.104.96] out: timestampB (30, 1447170046.066315)
[54.179.135.65] out: got 512 TXs
[54.179.135.65] out: timestampB (52, 1447170046.060186)
[52.23.168.188] out: [23] synced transactions.
[52.23.168.188] out: timestampE (23, 1447170055.112577)
[52.29.43.107] out: [41] synced transactions.
[52.29.43.107] out: timestampE (41, 1447170055.001846)
[107.21.5.236] out: [21] synced transactions.
[107.21.5.236] out: timestampE (21, 1447170055.134020)
[52.29.95.105] out: [47] synced transactions.
[52.29.95.105] out: timestampE (47, 1447170055.368268)
[52.91.97.171] out: [19] synced transactions.
[52.91.97.171] out: timestampE (19, 1447170055.069320)
[52.31.124.103] out: [37] synced transactions.
[52.31.124.103] out: timestampE (37, 1447170054.890996)
[52.29.145.149] out: [46] synced transactions.
[52.29.145.149] out: timestampE (46, 1447170055.069939)
[52.29.143.40] out: [43] synced transactions.
[52.29.143.40] out: timestampE (43, 1447170055.099207)
[52.24.127.191] out: [4] synced transactions.
[52.24.127.191] out: timestampE (4, 1447170055.079029)
[52.29.43.33] out: [45] synced transactions.
[52.29.43.33] out: timestampE (45, 1447170055.106614)
[52.91.78.88] out: [22] synced transactions.
[52.91.78.88] out: timestampE (22, 1447170055.201603)
[52.28.65.114] out: [44] synced transactions.
[52.28.65.114] out: timestampE (44, 1447170055.172686)
[52.27.237.141] out: [6] synced transactions.
[52.27.237.141] out: timestampE (6, 1447170054.836941)
[54.236.248.119] out: [18] synced transactions.
[54.236.248.119] out: timestampE (18, 1447170055.139492)
[52.16.85.22] out: [34] synced transactions.
[52.16.85.22] out: timestampE (34, 1447170055.060998)
[52.29.137.216] out: [40] synced transactions.
[52.29.137.216] out: timestampE (40, 1447170055.100674)
[52.30.176.61] out: [39] synced transactions.
[52.30.176.61] out: timestampE (39, 1447170055.178017)
[52.31.39.64] out: [36] synced transactions.
[52.31.39.64] out: timestampE (36, 1447170055.131069)
[52.32.155.30] out: [1] synced transactions.
[52.32.155.30] out: timestampE (1, 1447170055.488564)
[52.9.74.240] out: [12] synced transactions.
[52.9.74.240] out: timestampE (12, 1447170055.508168)
[52.8.19.154] out: [10] synced transactions.
[52.8.19.154] out: timestampE (10, 1447170055.724311)
[52.9.72.86] out: [9] synced transactions.
[52.9.72.86] out: timestampE (9, 1447170055.673867)
[54.208.194.6] out: [16] synced transactions.
[54.208.194.6] out: timestampE (16, 1447170055.524272)
[52.25.82.27] out: [0] synced transactions.
