[54.174.96.216] out: servers started
[54.174.115.145] out: got 16383 TXs
[54.174.115.145] out: timestampB (35, 1447330787.941604)
[54.174.108.235] out: got 16382 TXs
[54.174.108.235] out: timestampB (39, 1447330788.040598)
[54.174.100.11] out: got 16384 TXs
[54.174.100.11] out: timestampB (37, 1447330788.256364)
[54.174.100.252] out: got 16384 TXs
[54.174.100.252] out: timestampB (47, 1447330788.320065)
[52.33.233.86] out: got 16384 TXs
[52.33.233.86] out: timestampB (15, 1447330787.762807)
[52.33.220.84] out: got 16384 TXs
[52.33.220.84] out: timestampB (10, 1447330788.070039)
[52.33.233.170] out: got 16384 TXs
[52.33.233.170] out: timestampB (13, 1447330788.265732)
[54.174.99.63] out: got 16384 TXs
[54.174.99.63] out: timestampB (33, 1447330787.905522)
[54.174.97.195] out: got 16384 TXs
[54.174.97.195] out: timestampB (41, 1447330788.710495)
[54.174.99.143] out: got 16384 TXs
[54.174.99.143] out: timestampB (42, 1447330788.008237)
[52.33.176.227] out: got 16384 TXs
[52.33.176.227] out: timestampB (1, 1447330788.252949)
[52.33.214.97] out: got 16384 TXs
[52.33.214.97] out: timestampB (4, 1447330788.495190)
[52.33.233.78] out: got 16384 TXs
[52.33.233.78] out: timestampB (6, 1447330788.133279)
[54.174.99.66] out: got 16384 TXs
[54.174.99.66] out: timestampB (44, 1447330788.692716)
[54.174.96.1] out: got 16384 TXs
[54.174.96.1] out: timestampB (32, 1447330788.441576)
[52.33.233.148] out: got 16384 TXs
[52.33.233.148] out: timestampB (14, 1447330788.388308)
[52.33.226.33] out: got 16384 TXs
[52.33.226.33] out: timestampB (2, 1447330788.788554)
[54.174.114.106] out: got 16384 TXs
[54.174.114.106] out: timestampB (36, 1447330788.211764)
[52.33.231.17] out: got 16384 TXs
[52.33.231.17] out: timestampB (11, 1447330788.059737)
[54.174.101.230] out: got 16384 TXs
[54.174.101.230] out: timestampB (38, 1447330788.345054)
[54.193.36.81] out: got 16383 TXs
[54.193.36.81] out: timestampB (26, 1447330789.090141)
[54.174.108.14] out: got 16384 TXs
[54.174.108.14] out: timestampB (46, 1447330788.948560)
[52.33.233.250] out: got 16384 TXs
[52.33.233.250] out: timestampB (12, 1447330789.102558)
[52.33.233.25] out: got 16384 TXs
[52.33.233.25] out: timestampB (0, 1447330789.060946)
[52.33.233.214] out: got 16384 TXs
[52.33.233.214] out: timestampB (3, 1447330788.500594)
[52.33.233.138] out: got 16384 TXs
[52.33.233.138] out: timestampB (8, 1447330788.909528)
[54.193.57.222] out: got 16384 TXs
[54.193.57.222] out: timestampB (16, 1447330788.634255)
[54.174.99.36] out: got 16384 TXs
[54.174.99.36] out: timestampB (34, 1447330788.600195)
[54.174.100.36] out: got 16384 TXs
[54.174.100.36] out: timestampB (40, 1447330789.198367)
[54.193.55.224] out: got 16384 TXs
[54.193.55.224] out: timestampB (28, 1447330788.570028)
[52.33.233.119] out: got 16384 TXs
[52.33.233.119] out: timestampB (7, 1447330788.481242)
[54.193.59.248] out: got 16384 TXs
[54.193.59.248] out: timestampB (17, 1447330789.150892)
[52.33.233.243] out: got 16384 TXs
[52.33.233.243] out: timestampB (9, 1447330789.177545)
[54.193.53.222] out: got 16384 TXs
[54.193.53.222] out: timestampB (22, 1447330788.598129)
[54.193.7.227] out: got 16384 TXs
[54.193.7.227] out: timestampB (27, 1447330789.440468)
[54.193.43.238] out: got 16383 TXs
[54.193.43.238] out: timestampB (21, 1447330789.391119)
[54.193.39.252] out: got 16384 TXs
[54.193.39.252] out: timestampB (30, 1447330789.719443)
[54.193.38.21] out: got 16384 TXs
[54.193.38.21] out: timestampB (20, 1447330789.760460)
[54.193.40.4] out: got 16384 TXs
[54.193.40.4] out: timestampB (29, 1447330789.826661)
[54.193.56.253] out: got 16384 TXs
[54.193.56.253] out: timestampB (24, 1447330789.903189)
[54.193.9.11] out: got 16384 TXs
[54.193.9.11] out: timestampB (23, 1447330789.520245)
[54.193.35.51] out: got 16384 TXs
[54.193.35.51] out: timestampB (31, 1447330789.827561)
[54.193.41.79] out: got 16384 TXs
[54.193.41.79] out: timestampB (19, 1447330790.428941)
[54.193.54.78] out: got 16384 TXs
[54.193.54.78] out: timestampB (25, 1447330790.531571)
[52.31.171.198] out: got 16384 TXs
[52.31.171.198] out: timestampB (72, 1447330790.208634)
[52.31.145.59] out: got 16384 TXs
[52.31.145.59] out: timestampB (67, 1447330791.046925)
[52.31.143.237] out: got 16384 TXs
[52.31.143.237] out: timestampB (79, 1447330790.586065)
[52.31.144.8] out: got 16384 TXs
[52.31.144.8] out: timestampB (77, 1447330791.495833)
[52.31.124.225] out: got 16384 TXs
[52.31.124.225] out: timestampB (74, 1447330790.633574)
[52.30.38.212] out: got 16384 TXs
[52.30.38.212] out: timestampB (66, 1447330791.097978)
[52.31.165.121] out: got 16384 TXs
[52.31.165.121] out: timestampB (68, 1447330791.095260)
[54.193.25.8] out: got 16384 TXs
[54.193.25.8] out: timestampB (18, 1447330791.380290)
[52.31.145.254] out: got 16383 TXs
[52.31.145.254] out: timestampB (73, 1447330791.864210)
[52.31.143.220] out: got 16384 TXs
[52.31.143.220] out: timestampB (76, 1447330792.186197)
[52.29.153.95] out: got 16384 TXs
[52.29.153.95] out: timestampB (83, 1447330792.578285)
[52.29.152.138] out: got 16384 TXs
[52.29.152.138] out: timestampB (86, 1447330792.115820)
[52.31.152.163] out: got 16384 TXs
[52.31.152.163] out: timestampB (75, 1447330792.331685)
[52.29.133.234] out: got 16384 TXs
[52.29.133.234] out: timestampB (89, 1447330792.630035)
[52.29.147.46] out: got 16384 TXs
[52.29.147.46] out: timestampB (80, 1447330792.578955)
[52.29.140.18] out: got 16384 TXs
[52.29.140.18] out: timestampB (93, 1447330792.673369)
[52.29.133.9] out: got 16384 TXs
[52.29.133.9] out: timestampB (92, 1447330792.753332)
[52.29.59.159] out: got 16384 TXs
[52.29.59.159] out: timestampB (94, 1447330792.684736)
[52.29.151.220] out: got 16384 TXs
[52.29.151.220] out: timestampB (91, 1447330792.216463)
[52.29.151.211] out: got 16384 TXs
[52.29.151.211] out: timestampB (88, 1447330792.635545)
[52.31.171.194] out: got 16384 TXs
[52.31.171.194] out: timestampB (71, 1447330792.675050)
[52.29.125.245] out: got 16384 TXs
[52.29.125.245] out: timestampB (84, 1447330792.992590)
[52.29.152.133] out: got 16384 TXs
[52.29.152.133] out: timestampB (95, 1447330793.075407)
[52.29.103.199] out: got 16384 TXs
[52.29.103.199] out: timestampB (81, 1447330792.914214)
[52.31.144.232] out: got 16384 TXs
[52.31.144.232] out: timestampB (64, 1447330792.551912)
[52.192.175.254] out: got 16384 TXs
[52.192.175.254] out: timestampB (125, 1447330793.792507)
[52.29.125.236] out: got 16384 TXs
[52.29.125.236] out: timestampB (90, 1447330793.688463)
[52.31.146.140] out: got 16384 TXs
[52.31.146.140] out: timestampB (70, 1447330792.903860)
[52.192.84.190] out: got 16384 TXs
[52.192.84.190] out: timestampB (124, 1447330793.792389)
[52.192.178.31] out: got 16384 TXs
[52.192.178.31] out: timestampB (127, 1447330793.596497)
[52.192.175.15] out: got 16384 TXs
[52.192.175.15] out: timestampB (119, 1447330793.786242)
[52.192.177.52] out: got 16384 TXs
[52.192.177.52] out: timestampB (126, 1447330793.725432)
[52.29.124.19] out: got 16383 TXs
[52.29.124.19] out: timestampB (82, 1447330794.531538)
[52.29.140.0] out: got 16384 TXs
[52.29.140.0] out: timestampB (85, 1447330795.815069)
[52.31.44.237] out: got 16384 TXs
[52.31.44.237] out: timestampB (69, 1447330806.643720)
[52.31.145.45] out: got 16384 TXs
