[52.29.124.19] out: servers started
[52.192.161.15] out: got 2048 TXs
[52.192.161.15] out: timestampB (121, 1447322758.379199)
[52.192.177.178] out: got 2048 TXs
[52.192.177.178] out: timestampB (116, 1447322758.096478)
[52.192.177.62] out: got 2048 TXs
[52.192.177.62] out: timestampB (122, 1447322758.231399)
[52.68.97.243] out: got 2048 TXs
[52.68.97.243] out: timestampB (118, 1447322758.187961)
[54.179.131.85] out: got 2048 TXs
[54.179.131.85] out: timestampB (100, 1447322758.195250)
[54.179.146.81] out: got 2048 TXs
[54.179.146.81] out: timestampB (106, 1447322758.246686)
[52.192.178.31] out: got 2048 TXs
[52.192.178.31] out: timestampB (127, 1447322758.210348)
[52.192.174.217] out: got 2048 TXs
[52.192.174.217] out: timestampB (123, 1447322758.488208)
[54.179.150.193] out: got 2048 TXs
[54.179.150.193] out: timestampB (107, 1447322758.211067)
[54.169.229.231] out: got 2048 TXs
[54.169.229.231] out: timestampB (103, 1447322758.376011)
[54.179.169.27] out: got 2048 TXs
[54.179.169.27] out: timestampB (98, 1447322758.275110)
[52.192.175.254] out: got 2048 TXs
[52.192.175.254] out: timestampB (125, 1447322758.826790)
[54.169.236.16] out: got 2048 TXs
[54.169.236.16] out: timestampB (108, 1447322758.647566)
[54.169.236.2] out: got 2048 TXs
[54.169.236.2] out: timestampB (105, 1447322758.480342)
[54.179.128.231] out: got 2048 TXs
[54.179.128.231] out: timestampB (101, 1447322758.678659)
[54.179.150.72] out: got 2048 TXs
[54.179.150.72] out: timestampB (109, 1447322758.611595)
[54.179.151.204] out: got 2048 TXs
[54.179.151.204] out: timestampB (96, 1447322758.782966)
[52.68.169.196] out: got 2048 TXs
[52.68.169.196] out: timestampB (115, 1447322758.805415)
[52.192.84.105] out: got 2048 TXs
[52.192.84.105] out: timestampB (113, 1447322758.786311)
[54.169.243.16] out: got 2048 TXs
[54.169.243.16] out: timestampB (99, 1447322758.784728)
[52.192.176.138] out: got 2048 TXs
[52.192.176.138] out: timestampB (112, 1447322758.982139)
[52.68.93.132] out: got 2048 TXs
[52.68.93.132] out: timestampB (114, 1447322758.874672)
[52.69.201.55] out: got 2048 TXs
[52.69.201.55] out: timestampB (120, 1447322759.158442)
[54.179.160.172] out: got 2048 TXs
[54.179.160.172] out: timestampB (102, 1447322759.339018)
[52.192.84.190] out: got 2048 TXs
[52.192.84.190] out: timestampB (124, 1447322759.581851)
[54.179.166.32] out: got 2048 TXs
[54.179.166.32] out: timestampB (110, 1447322759.350191)
[52.192.176.242] out: got 2048 TXs
[52.192.176.242] out: timestampB (117, 1447322759.658504)
[52.192.177.52] out: got 2048 TXs
[52.192.177.52] out: timestampB (126, 1447322759.516787)
[54.179.169.70] out: got 2048 TXs
[54.179.169.70] out: timestampB (97, 1447322759.606618)
[52.192.175.15] out: got 2048 TXs
[52.192.175.15] out: timestampB (119, 1447322759.681786)
[54.169.236.174] out: got 2048 TXs
[54.169.236.174] out: timestampB (104, 1447322759.987059)
[54.179.130.182] out: got 2048 TXs
[54.179.130.182] out: timestampB (111, 1447322759.993218)
[52.33.233.78] out: got 2048 TXs
[52.33.233.78] out: timestampB (6, 1447322759.920744)
[52.33.176.227] out: got 2048 TXs
[52.33.176.227] out: timestampB (1, 1447322760.220396)
[52.33.233.148] out: got 2048 TXs
