[54.232.199.192] out: servers started
[52.8.92.220] out: got 1024 TXs
[52.8.92.220] out: timestampB (7, 1447167948.779722)
[52.24.127.191] out: got 1024 TXs
[52.24.127.191] out: timestampB (0, 1447167948.200984)
[52.9.72.86] out: got 1024 TXs
[52.9.72.86] out: timestampB (5, 1447167948.334120)
[52.8.19.154] out: got 1024 TXs
[52.8.19.154] out: timestampB (6, 1447167948.403984)
[52.9.64.216] out: got 1024 TXs
[52.9.64.216] out: timestampB (4, 1447167948.302852)
[52.26.214.226] out: got 1024 TXs
[52.26.214.226] out: timestampB (3, 1447167948.408676)
[52.27.237.141] out: got 1024 TXs
[52.27.237.141] out: timestampB (2, 1447167948.016161)
[52.33.208.21] out: got 1024 TXs
[52.33.208.21] out: timestampB (1, 1447167948.389175)
[54.208.194.6] out: got 1024 TXs
[54.208.194.6] out: timestampB (8, 1447167948.715500)
[54.209.228.153] out: got 1024 TXs
[54.209.228.153] out: timestampB (9, 1447167949.446041)
[52.23.168.188] out: got 1024 TXs
[52.23.168.188] out: timestampB (11, 1447167948.795932)
[52.91.78.88] out: got 1024 TXs
[52.91.78.88] out: timestampB (10, 1447167949.764572)
[52.17.24.113] out: got 1024 TXs
[52.17.24.113] out: timestampB (17, 1447167950.234666)
[52.19.164.11] out: got 1024 TXs
[52.19.164.11] out: timestampB (16, 1447167951.033187)
[52.31.164.91] out: got 1024 TXs
[52.31.164.91] out: timestampB (19, 1447167950.269052)
[52.69.246.137] out: got 1024 TXs
[52.69.246.137] out: timestampB (31, 1447167950.423707)
[52.192.140.223] out: got 1024 TXs
[52.192.140.223] out: timestampB (29, 1447167951.011615)
[52.69.156.69] out: got 1024 TXs
[52.69.156.69] out: timestampB (30, 1447167950.511853)
[52.69.80.131] out: got 1024 TXs
[52.69.80.131] out: timestampB (28, 1447167950.602340)
[52.16.85.22] out: got 1024 TXs
[52.16.85.22] out: timestampB (18, 1447167950.677218)
[52.29.43.33] out: got 1024 TXs
[52.29.43.33] out: timestampB (21, 1447167950.715866)
[52.29.145.149] out: got 1024 TXs
[52.29.145.149] out: timestampB (22, 1447167950.713191)
[52.28.65.114] out: got 1024 TXs
[52.28.65.114] out: timestampB (20, 1447167950.809694)
[52.29.95.105] out: got 1024 TXs
[52.29.95.105] out: timestampB (23, 1447167951.026997)
[54.179.135.65] out: got 1024 TXs
[54.179.135.65] out: timestampB (24, 1447167952.317927)
[54.179.157.121] out: got 1024 TXs
[54.179.157.121] out: timestampB (26, 1447167952.488163)
[54.169.212.80] out: got 1024 TXs
[54.169.212.80] out: timestampB (27, 1447167952.110561)
[54.233.97.117] out: got 1024 TXs
[54.233.97.117] out: timestampB (15, 1447167952.699184)
[54.207.93.82] out: got 1024 TXs
[54.207.93.82] out: timestampB (12, 1447167952.617895)
[54.94.243.208] out: got 1024 TXs
[54.94.243.208] out: timestampB (14, 1447167953.171852)
[54.232.199.192] out: got 1024 TXs
[54.232.199.192] out: timestampB (13, 1447167953.180587)
[54.179.164.162] out: got 1024 TXs
[54.179.164.162] out: timestampB (25, 1447167953.608006)
[52.24.127.191] out: [0] synced transactions.
[52.24.127.191] out: timestampE (0, 1447167958.131707)
[52.27.237.141] out: [2] synced transactions.
[52.27.237.141] out: timestampE (2, 1447167957.901271)
[52.8.19.154] out: [6] synced transactions.
[52.8.19.154] out: timestampE (6, 1447167958.358620)
