[54.179.157.121] out: servers started
[52.32.155.30] out: got 8192 TXs
[52.32.155.30] out: timestampB (1, 1447177333.980759)
[52.24.127.191] out: got 8192 TXs
[52.24.127.191] out: timestampB (4, 1447177333.876889)
[52.33.208.21] out: got 8192 TXs
[52.33.208.21] out: timestampB (5, 1447177334.029919)
[52.9.74.238] out: got 8192 TXs
[52.9.74.238] out: timestampB (11, 1447177334.524903)
[52.9.74.241] out: got 8192 TXs
[52.9.74.241] out: timestampB (13, 1447177334.469682)
[52.26.214.226] out: got 8192 TXs
[52.26.214.226] out: timestampB (7, 1447177334.532165)
[52.25.56.120] out: got 8192 TXs
[52.25.56.120] out: timestampB (2, 1447177334.253123)
[52.23.168.188] out: got 8192 TXs
[52.23.168.188] out: timestampB (23, 1447177334.475850)
[52.25.82.27] out: got 8192 TXs
[52.25.82.27] out: timestampB (0, 1447177334.317064)
[54.236.248.119] out: got 8192 TXs
[54.236.248.119] out: timestampB (18, 1447177334.450957)
[52.9.74.240] out: got 8192 TXs
[52.9.74.240] out: timestampB (12, 1447177334.572160)
[52.9.64.216] out: got 8192 TXs
[52.9.64.216] out: timestampB (8, 1447177334.522163)
[52.91.97.171] out: got 8192 TXs
[52.91.97.171] out: timestampB (19, 1447177334.529707)
[52.8.92.220] out: got 8192 TXs
[52.8.92.220] out: timestampB (15, 1447177335.286263)
[52.8.19.154] out: got 8192 TXs
[52.8.19.154] out: timestampB (10, 1447177335.069950)
[52.27.237.141] out: got 8192 TXs
[52.27.237.141] out: timestampB (6, 1447177334.284710)
[52.91.78.88] out: got 8192 TXs
[52.91.78.88] out: timestampB (22, 1447177334.995208)
[107.21.6.4] out: got 8192 TXs
[107.21.6.4] out: timestampB (20, 1447177334.660021)
[54.209.228.153] out: got 8192 TXs
[54.209.228.153] out: timestampB (17, 1447177335.981411)
[107.21.5.236] out: got 8192 TXs
[107.21.5.236] out: timestampB (21, 1447177335.176034)
[54.208.194.6] out: got 8192 TXs
[54.208.194.6] out: timestampB (16, 1447177335.517246)
[52.9.72.86] out: got 8192 TXs
[52.9.72.86] out: timestampB (9, 1447177336.354782)
[52.30.176.61] out: got 8192 TXs
[52.30.176.61] out: timestampB (39, 1447177336.315249)
[52.16.85.22] out: got 8192 TXs
[52.16.85.22] out: timestampB (34, 1447177336.286351)
[52.28.65.114] out: got 8192 TXs
[52.28.65.114] out: timestampB (44, 1447177336.919475)
[52.29.43.107] out: got 8192 TXs
[52.29.43.107] out: timestampB (41, 1447177336.842028)
[52.29.143.40] out: got 8192 TXs
[52.29.143.40] out: timestampB (43, 1447177336.957286)
[52.29.145.149] out: got 8192 TXs
[52.29.145.149] out: timestampB (46, 1447177336.926827)
[52.33.103.236] out: got 8191 TXs
[52.33.103.236] out: timestampB (3, 1447177337.126130)
[52.31.39.64] out: got 8192 TXs
[52.31.39.64] out: timestampB (36, 1447177336.853073)
[52.29.43.33] out: got 8192 TXs
[52.29.43.33] out: timestampB (45, 1447177337.269302)
[52.31.41.124] out: got 8192 TXs
[52.31.41.124] out: timestampB (38, 1447177337.743967)
[52.17.24.113] out: got 8192 TXs
[52.17.24.113] out: timestampB (33, 1447177338.364364)
[52.31.124.103] out: got 8192 TXs
[52.31.124.103] out: timestampB (37, 1447177338.327307)
[52.29.95.105] out: got 8192 TXs
[52.29.95.105] out: timestampB (47, 1447177339.451724)
[52.9.74.239] out: got 8192 TXs
[52.9.74.239] out: timestampB (14, 1447177339.824613)
[52.19.164.11] out: got 8192 TXs
[52.19.164.11] out: timestampB (32, 1447177340.696119)
[52.29.120.70] out: got 8192 TXs
[52.29.120.70] out: timestampB (42, 1447177339.961161)
[52.192.55.120] out: got 8192 TXs
[52.192.55.120] out: timestampB (59, 1447177340.889520)
[52.69.197.55] out: got 8192 TXs
[52.69.197.55] out: timestampB (58, 1447177340.888930)
[52.29.137.216] out: got 8192 TXs
[52.29.137.216] out: timestampB (40, 1447177340.704851)
[52.31.164.91] out: got 8192 TXs
[52.31.164.91] out: timestampB (35, 1447177340.932339)
[52.192.140.223] out: got 8192 TXs
[52.192.140.223] out: timestampB (61, 1447177341.969525)
[52.69.97.238] out: got 8192 TXs
[52.69.97.238] out: timestampB (57, 1447177341.846156)
[52.192.75.43] out: got 8192 TXs
[52.192.75.43] out: timestampB (60, 1447177342.271856)
[52.69.156.69] out: got 8192 TXs
[52.69.156.69] out: timestampB (62, 1447177342.595293)
[52.69.80.131] out: got 8192 TXs
[52.69.80.131] out: timestampB (56, 1447177342.861046)
[52.69.246.137] out: got 8192 TXs
[52.69.246.137] out: timestampB (63, 1447177342.958697)
[54.179.164.162] out: got 8192 TXs
[54.179.164.162] out: timestampB (53, 1447177343.313894)
[54.169.246.15] out: got 8192 TXs
[54.169.246.15] out: timestampB (49, 1447177343.416320)
[54.169.238.113] out: got 8192 TXs
[54.169.238.113] out: timestampB (51, 1447177343.685939)
[54.169.246.32] out: got 8192 TXs
[54.169.246.32] out: timestampB (50, 1447177344.148134)
