[54.207.93.82] out: servers started
[52.32.155.30] out: got 8192 TXs
[52.32.155.30] out: timestampB (1, 1447171458.900262)
[52.33.208.21] out: got 8192 TXs
[52.33.208.21] out: timestampB (5, 1447171458.901654)
[52.25.82.27] out: got 8192 TXs
[52.25.82.27] out: timestampB (0, 1447171458.924260)
[52.24.127.191] out: got 8192 TXs
[52.24.127.191] out: timestampB (4, 1447171458.877670)
[52.33.103.236] out: got 8192 TXs
[52.33.103.236] out: timestampB (3, 1447171458.986016)
[52.27.237.141] out: got 8192 TXs
[52.27.237.141] out: timestampB (6, 1447171458.757058)
[52.9.74.240] out: got 8192 TXs
[52.9.74.240] out: timestampB (12, 1447171459.107964)
[52.9.72.86] out: got 8192 TXs
[52.9.72.86] out: timestampB (9, 1447171459.269438)
[52.9.74.238] out: got 8192 TXs
[52.9.74.238] out: timestampB (11, 1447171459.207171)
[52.9.74.239] out: got 8192 TXs
[52.9.74.239] out: timestampB (14, 1447171459.115831)
[52.26.214.226] out: got 8192 TXs
[52.26.214.226] out: timestampB (7, 1447171459.249885)
[52.25.56.120] out: got 8192 TXs
[52.25.56.120] out: timestampB (2, 1447171459.133552)
[52.8.19.154] out: got 8192 TXs
[52.8.19.154] out: timestampB (10, 1447171459.425937)
[52.8.92.220] out: got 8192 TXs
[52.8.92.220] out: timestampB (15, 1447171459.769170)
[52.9.64.216] out: got 8192 TXs
[52.9.64.216] out: timestampB (8, 1447171459.210869)
[52.9.74.241] out: got 8192 TXs
[52.9.74.241] out: timestampB (13, 1447171459.222618)
[52.23.168.188] out: got 8192 TXs
[52.23.168.188] out: timestampB (23, 1447171459.422129)
[52.91.97.171] out: got 8192 TXs
[52.91.97.171] out: timestampB (19, 1447171459.363688)
[54.236.248.119] out: got 8192 TXs
[54.236.248.119] out: timestampB (18, 1447171459.363260)
[52.91.78.88] out: got 8192 TXs
[52.91.78.88] out: timestampB (22, 1447171459.462075)
[54.209.228.153] out: got 8192 TXs
[54.209.228.153] out: timestampB (17, 1447171460.233423)
[107.21.6.4] out: got 8192 TXs
[107.21.6.4] out: timestampB (20, 1447171459.363379)
[54.208.194.6] out: got 8192 TXs
[54.208.194.6] out: timestampB (16, 1447171459.403104)
[107.21.5.236] out: got 8192 TXs
[107.21.5.236] out: timestampB (21, 1447171459.662337)
[52.29.43.107] out: got 8192 TXs
[52.29.43.107] out: timestampB (41, 1447171463.496259)
[52.16.85.22] out: got 8192 TXs
[52.16.85.22] out: timestampB (34, 1447171463.440620)
[52.29.143.40] out: got 8192 TXs
[52.29.143.40] out: timestampB (43, 1447171463.938705)
[52.29.43.33] out: got 8192 TXs
[52.29.43.33] out: timestampB (45, 1447171463.938913)
[52.29.137.216] out: got 8192 TXs
[52.29.137.216] out: timestampB (40, 1447171463.924565)
[52.28.65.114] out: got 8192 TXs
[52.28.65.114] out: timestampB (44, 1447171464.340708)
[52.31.124.103] out: got 8192 TXs
[52.31.124.103] out: timestampB (37, 1447171464.682240)
[52.30.176.61] out: got 8192 TXs
[52.30.176.61] out: timestampB (39, 1447171464.910251)
[52.31.39.64] out: got 8192 TXs
[52.31.39.64] out: timestampB (36, 1447171464.952511)
[52.17.24.113] out: got 8192 TXs
[52.17.24.113] out: timestampB (33, 1447171465.186940)
[52.31.164.91] out: got 8192 TXs
[52.31.164.91] out: timestampB (35, 1447171465.201647)
[52.29.120.70] out: got 8192 TXs
[52.29.120.70] out: timestampB (42, 1447171465.454359)
[52.31.41.124] out: got 8192 TXs
[52.31.41.124] out: timestampB (38, 1447171465.602271)
[52.29.145.149] out: got 8192 TXs
[52.29.145.149] out: timestampB (46, 1447171465.538384)
[52.19.164.11] out: got 8192 TXs
[52.19.164.11] out: timestampB (32, 1447171466.617536)
[52.69.80.131] out: got 8192 TXs
[52.69.80.131] out: timestampB (56, 1447171465.922822)
[52.192.55.120] out: got 8192 TXs
[52.192.55.120] out: timestampB (59, 1447171465.763078)
[52.192.75.43] out: got 8192 TXs
[52.192.75.43] out: timestampB (60, 1447171465.929280)
[52.29.95.105] out: got 8192 TXs
[52.29.95.105] out: timestampB (47, 1447171466.242304)
[52.69.97.238] out: got 8192 TXs
[52.69.97.238] out: timestampB (57, 1447171466.003492)
[52.69.156.69] out: got 8192 TXs
[52.69.156.69] out: timestampB (62, 1447171466.105812)
