[54.233.107.89] out: servers started
[52.27.237.141] out: got 4096 TXs
[52.27.237.141] out: timestampB (6, 1447178300.861212)
[52.24.127.191] out: got 4096 TXs
[52.24.127.191] out: timestampB (4, 1447178301.115677)
[52.33.208.21] out: got 4096 TXs
[52.33.208.21] out: timestampB (5, 1447178301.166977)
[52.32.155.30] out: got 4096 TXs
[52.32.155.30] out: timestampB (1, 1447178301.232391)
[52.33.103.236] out: got 4096 TXs
[52.33.103.236] out: timestampB (3, 1447178301.327587)
[52.25.56.120] out: got 4096 TXs
[52.25.56.120] out: timestampB (2, 1447178301.164769)
[52.26.214.226] out: got 4096 TXs
[52.26.214.226] out: timestampB (7, 1447178301.560874)
[52.25.82.27] out: got 4096 TXs
[52.25.82.27] out: timestampB (0, 1447178301.249300)
[52.9.72.86] out: got 4096 TXs
[52.9.72.86] out: timestampB (9, 1447178301.798317)
[52.9.74.240] out: got 4096 TXs
[52.9.74.240] out: timestampB (12, 1447178301.616014)
[52.9.74.241] out: got 4096 TXs
[52.9.74.241] out: timestampB (13, 1447178301.671576)
[52.9.64.216] out: got 4096 TXs
[52.9.64.216] out: timestampB (8, 1447178301.494164)
[52.9.74.239] out: got 4096 TXs
[52.9.74.239] out: timestampB (14, 1447178301.717488)
[52.8.92.220] out: got 4096 TXs
[52.8.92.220] out: timestampB (15, 1447178302.324616)
[52.9.74.238] out: got 4096 TXs
[52.9.74.238] out: timestampB (11, 1447178301.814767)
[52.91.78.88] out: got 4096 TXs
[52.91.78.88] out: timestampB (22, 1447178301.747860)
[107.21.5.236] out: got 4096 TXs
[107.21.5.236] out: timestampB (21, 1447178301.812071)
[54.209.228.153] out: got 4096 TXs
[54.209.228.153] out: timestampB (17, 1447178302.701387)
[54.236.248.119] out: got 4096 TXs
[54.236.248.119] out: timestampB (18, 1447178301.720047)
[54.208.194.6] out: got 4096 TXs
[54.208.194.6] out: timestampB (16, 1447178301.574522)
[52.23.168.188] out: got 4096 TXs
[52.23.168.188] out: timestampB (23, 1447178301.819002)
[52.91.97.171] out: got 4096 TXs
[52.91.97.171] out: timestampB (19, 1447178301.790959)
[52.8.19.154] out: got 4096 TXs
[52.8.19.154] out: timestampB (10, 1447178303.174180)
[107.21.6.4] out: got 4096 TXs
[107.21.6.4] out: timestampB (20, 1447178303.490301)
[52.16.85.22] out: got 4096 TXs
[52.16.85.22] out: timestampB (34, 1447178303.830646)
[52.31.124.103] out: got 4096 TXs
[52.31.124.103] out: timestampB (37, 1447178304.984089)
[52.19.164.11] out: got 4096 TXs
[52.19.164.11] out: timestampB (32, 1447178306.096947)
[52.31.164.91] out: got 4096 TXs
[52.31.164.91] out: timestampB (35, 1447178305.044569)
[52.30.176.61] out: got 4096 TXs
[52.30.176.61] out: timestampB (39, 1447178304.856719)
[52.29.137.216] out: got 4096 TXs
[52.29.137.216] out: timestampB (40, 1447178304.885792)
[52.31.41.124] out: got 4096 TXs
[52.31.41.124] out: timestampB (38, 1447178305.398574)
[52.29.43.107] out: got 4096 TXs
[52.29.43.107] out: timestampB (41, 1447178305.216358)
[52.31.39.64] out: got 4096 TXs
[52.31.39.64] out: timestampB (36, 1447178304.944728)
[52.29.143.40] out: got 4096 TXs
[52.29.143.40] out: timestampB (43, 1447178305.396076)
[52.17.24.113] out: got 4096 TXs
[52.17.24.113] out: timestampB (33, 1447178305.604713)
[52.29.120.70] out: got 4096 TXs
[52.29.120.70] out: timestampB (42, 1447178305.205229)
[52.29.43.33] out: got 4096 TXs
[52.29.43.33] out: timestampB (45, 1447178305.618091)
[52.29.95.105] out: got 4096 TXs
[52.29.95.105] out: timestampB (47, 1447178306.220896)
[52.69.197.55] out: got 4096 TXs
[52.69.197.55] out: timestampB (58, 1447178305.815811)
[52.69.156.69] out: got 4096 TXs
[52.69.156.69] out: timestampB (62, 1447178306.179122)
[52.28.65.114] out: got 4096 TXs
[52.28.65.114] out: timestampB (44, 1447178305.996745)
[52.192.140.223] out: got 4096 TXs
[52.192.140.223] out: timestampB (61, 1447178306.672061)
[52.69.80.131] out: got 4096 TXs
[52.69.80.131] out: timestampB (56, 1447178306.320872)
[52.69.97.238] out: got 4096 TXs
[52.69.97.238] out: timestampB (57, 1447178306.173618)
[52.29.145.149] out: got 4096 TXs
[52.29.145.149] out: timestampB (46, 1447178306.001441)
[52.192.55.120] out: got 4096 TXs
[52.192.55.120] out: timestampB (59, 1447178306.289129)
[52.192.75.43] out: got 4096 TXs
[52.192.75.43] out: timestampB (60, 1447178306.414450)
[52.69.246.137] out: got 4096 TXs
[52.69.246.137] out: timestampB (63, 1447178306.029095)
[54.179.164.162] out: got 4096 TXs
[54.179.164.162] out: timestampB (53, 1447178309.036002)
[54.169.246.15] out: got 4096 TXs
[54.169.246.15] out: timestampB (49, 1447178309.101047)
[54.179.157.121] out: got 4096 TXs
[54.179.157.121] out: timestampB (54, 1447178309.383810)
[54.169.246.32] out: got 4096 TXs
[54.169.246.32] out: timestampB (50, 1447178309.062711)
[54.169.212.80] out: got 4096 TXs
[54.169.212.80] out: timestampB (55, 1447178309.219847)
[54.169.238.113] out: got 4096 TXs
[54.169.238.113] out: timestampB (51, 1447178309.685673)
[54.169.248.67] out: got 4096 TXs
[54.169.248.67] out: timestampB (48, 1447178309.806561)
[54.179.135.65] out: got 4096 TXs
[54.179.135.65] out: timestampB (52, 1447178309.533358)
[54.232.199.192] out: got 4096 TXs
[54.232.199.192] out: timestampB (25, 1447178310.309389)
[54.207.93.82] out: got 4096 TXs
[54.207.93.82] out: timestampB (24, 1447178310.215877)
[54.232.218.195] out: got 4096 TXs
[54.232.218.195] out: timestampB (31, 1447178310.264422)
[54.232.250.8] out: got 4096 TXs
[54.232.250.8] out: timestampB (28, 1447178310.310532)
[54.233.97.117] out: got 4096 TXs
[54.233.97.117] out: timestampB (27, 1447178310.693779)
[54.94.243.208] out: got 4096 TXs
[54.94.243.208] out: timestampB (26, 1447178311.235179)
[54.233.104.96] out: got 4096 TXs
[54.233.104.96] out: timestampB (30, 1447178310.804561)
[54.233.107.89] out: got 4096 TXs
[54.233.107.89] out: timestampB (29, 1447178311.254748)
[52.32.155.30] out: [1] synced transactions.
[52.32.155.30] out: timestampE (1, 1447178354.813038)
[54.179.157.121] out: [54] synced transactions.
[54.179.157.121] out: timestampE (54, 1447178355.057914)
[52.23.168.188] out: [23] synced transactions.
[52.23.168.188] out: timestampE (23, 1447178355.181057)
[54.179.164.162] out: [53] synced transactions.
[54.179.164.162] out: timestampE (53, 1447178355.307024)
[52.31.124.103] out: [37] synced transactions.
[52.31.124.103] out: timestampE (37, 1447178355.249014)
[52.29.43.107] out: [41] synced transactions.
[52.29.43.107] out: timestampE (41, 1447178355.222394)
[52.27.237.141] out: [6] synced transactions.
[52.27.237.141] out: timestampE (6, 1447178354.868208)
[52.91.97.171] out: [19] synced transactions.
[52.91.97.171] out: timestampE (19, 1447178355.281796)
[52.29.143.40] out: [43] synced transactions.
[52.29.143.40] out: timestampE (43, 1447178355.326468)
[52.91.78.88] out: [22] synced transactions.
[52.91.78.88] out: timestampE (22, 1447178355.421719)
[52.8.19.154] out: [10] synced transactions.
[52.8.19.154] out: timestampE (10, 1447178355.827185)
[52.28.65.114] out: [44] synced transactions.
[52.28.65.114] out: timestampE (44, 1447178355.451876)
[52.29.145.149] out: [46] synced transactions.
[52.29.145.149] out: timestampE (46, 1447178355.383385)
[52.29.95.105] out: [47] synced transactions.
[52.29.95.105] out: timestampE (47, 1447178355.820255)
[52.29.137.216] out: [40] synced transactions.
[52.29.137.216] out: timestampE (40, 1447178355.186952)
[52.16.85.22] out: [34] synced transactions.
[52.16.85.22] out: timestampE (34, 1447178355.134962)
[54.169.246.15] out: [49] synced transactions.
[54.169.246.15] out: timestampE (49, 1447178355.425007)
[52.29.43.33] out: [45] synced transactions.
[52.29.43.33] out: timestampE (45, 1447178355.577456)
[52.30.176.61] out: [39] synced transactions.
[52.30.176.61] out: timestampE (39, 1447178355.253515)
[52.31.39.64] out: [36] synced transactions.
[52.31.39.64] out: timestampE (36, 1447178355.266204)
[52.29.120.70] out: [42] synced transactions.
[52.29.120.70] out: timestampE (42, 1447178355.438296)
[52.9.74.240] out: [12] synced transactions.
[52.9.74.240] out: timestampE (12, 1447178355.847012)
[52.24.127.191] out: [4] synced transactions.
[52.24.127.191] out: timestampE (4, 1447178355.532316)
[52.8.92.220] out: [15] synced transactions.
[52.8.92.220] out: timestampE (15, 1447178356.554252)
[52.9.72.86] out: [9] synced transactions.
[52.9.72.86] out: timestampE (9, 1447178356.193045)
[52.19.164.11] out: [32] synced transactions.
[52.19.164.11] out: timestampE (32, 1447178356.935301)
[52.33.208.21] out: [5] synced transactions.
[52.9.64.216] out: [8] synced transactions.
[52.33.208.21] out: timestampE (5, 1447178355.741928)
[52.9.64.216] out: timestampE (8, 1447178355.880727)
[52.25.82.27] out: [0] synced transactions.
[52.25.82.27] out: timestampE (0, 1447178355.763283)
[52.9.74.239] out: [14] synced transactions.
[52.192.75.43] out: [60] synced transactions.
[52.9.74.239] out: timestampE (14, 1447178356.035410)
[52.192.75.43] out: timestampE (60, 1447178356.059941)
[52.17.24.113] out: [33] synced transactions.
[52.17.24.113] out: timestampE (33, 1447178356.166014)
[52.9.74.238] out: [11] synced transactions.
[52.9.74.238] out: timestampE (11, 1447178356.231072)
[52.9.74.241] out: [13] synced transactions.
[52.9.74.241] out: timestampE (13, 1447178356.196454)
[52.31.164.91] out: [35] synced transactions.
[52.31.164.91] out: timestampE (35, 1447178355.964648)
[52.69.80.131] out: [56] synced transactions.
[52.69.80.131] out: timestampE (56, 1447178356.375883)
[52.31.41.124] out: [38] synced transactions.
[52.31.41.124] out: timestampE (38, 1447178356.293665)
[54.209.228.153] out: [17] synced transactions.
[54.209.228.153] out: timestampE (17, 1447178357.268729)
[107.21.5.236] out: [21] synced transactions.
[107.21.5.236] out: timestampE (21, 1447178356.457130)
[54.236.248.119] out: [18] synced transactions.
[54.236.248.119] out: timestampE (18, 1447178356.356605)
[52.192.55.120] out: [59] synced transactions.
[52.192.55.120] out: timestampE (59, 1447178356.780275)
[54.169.248.67] out: [48] synced transactions.
[54.169.248.67] out: timestampE (48, 1447178356.736913)
