[54.94.243.208] out: servers started
[52.9.64.216] out: got 4096 TXs
[52.9.64.216] out: timestampB (4, 1447168611.948558)
[52.9.72.86] out: got 4096 TXs
[52.9.72.86] out: timestampB (5, 1447168612.000620)
[52.27.237.141] out: got 4096 TXs
[52.27.237.141] out: timestampB (2, 1447168611.607912)
[52.8.19.154] out: got 4096 TXs
[52.8.19.154] out: timestampB (6, 1447168612.074897)
[52.8.92.220] out: got 4096 TXs
[52.8.92.220] out: timestampB (7, 1447168612.484218)
[52.26.214.226] out: got 4096 TXs
[52.26.214.226] out: timestampB (3, 1447168612.040272)
[52.33.208.21] out: got 4096 TXs
[52.33.208.21] out: timestampB (1, 1447168612.001074)
[52.23.168.188] out: got 4096 TXs
[52.23.168.188] out: timestampB (11, 1447168612.357429)
[54.209.228.153] out: got 4096 TXs
[54.209.228.153] out: timestampB (9, 1447168613.080221)
[52.91.78.88] out: got 4096 TXs
[52.91.78.88] out: timestampB (10, 1447168612.390603)
[54.208.194.6] out: got 4096 TXs
[54.208.194.6] out: timestampB (8, 1447168612.410713)
[52.24.127.191] out: got 4096 TXs
[52.24.127.191] out: timestampB (0, 1447168612.948439)
[52.16.85.22] out: got 4096 TXs
[52.16.85.22] out: timestampB (18, 1447168614.213256)
[52.17.24.113] out: got 4096 TXs
[52.17.24.113] out: timestampB (17, 1447168614.471626)
[52.192.140.223] out: got 4096 TXs
[52.192.140.223] out: timestampB (29, 1447168615.029993)
[52.19.164.11] out: got 4096 TXs
[52.19.164.11] out: timestampB (16, 1447168615.328812)
[52.69.156.69] out: got 4096 TXs
[52.69.156.69] out: timestampB (30, 1447168614.603161)
[52.28.65.114] out: got 4096 TXs
[52.28.65.114] out: timestampB (20, 1447168614.613667)
[52.31.164.91] out: got 4096 TXs
[52.31.164.91] out: timestampB (19, 1447168614.575694)
[52.69.80.131] out: got 4096 TXs
[52.69.80.131] out: timestampB (28, 1447168614.754658)
[52.29.43.33] out: got 4096 TXs
[52.29.43.33] out: timestampB (21, 1447168614.678953)
[52.69.246.137] out: got 4096 TXs
[52.69.246.137] out: timestampB (31, 1447168614.723650)
[52.29.145.149] out: got 4096 TXs
[52.29.145.149] out: timestampB (22, 1447168614.748189)
[52.29.95.105] out: got 4096 TXs
[52.29.95.105] out: timestampB (23, 1447168615.261485)
[54.179.157.121] out: got 4096 TXs
[54.179.157.121] out: timestampB (26, 1447168616.403489)
[54.179.135.65] out: got 4096 TXs
[54.179.135.65] out: timestampB (24, 1447168616.450318)
[54.179.164.162] out: got 4096 TXs
[54.179.164.162] out: timestampB (25, 1447168616.673711)
[54.169.212.80] out: got 4096 TXs
[54.169.212.80] out: timestampB (27, 1447168616.271095)
[54.233.97.117] out: got 4096 TXs
[54.233.97.117] out: timestampB (15, 1447168616.972031)
[54.232.199.192] out: got 4096 TXs
[54.232.199.192] out: timestampB (13, 1447168617.012590)
[54.94.243.208] out: got 4096 TXs
[54.94.243.208] out: timestampB (14, 1447168617.706274)
[54.207.93.82] out: got 4096 TXs
[54.207.93.82] out: timestampB (12, 1447168617.175565)
[52.27.237.141] out: [2] synced transactions.
[52.27.237.141] out: timestampE (2, 1447168634.092183)
