[52.31.124.103] out: servers started
[52.24.127.191] out: got 16384 TXs
[52.24.127.191] out: timestampB (4, 1447174235.730970)
[52.33.208.21] out: got 16384 TXs
[52.33.208.21] out: timestampB (5, 1447174235.909786)
[52.25.56.120] out: got 16384 TXs
[52.25.56.120] out: timestampB (2, 1447174235.920723)
[52.32.155.30] out: got 16384 TXs
[52.32.155.30] out: timestampB (1, 1447174236.011218)
[52.26.214.226] out: got 16384 TXs
[52.26.214.226] out: timestampB (7, 1447174236.214687)
[52.27.237.141] out: got 16384 TXs
[52.27.237.141] out: timestampB (6, 1447174235.698682)
[52.8.19.154] out: got 16384 TXs
[52.8.19.154] out: timestampB (10, 1447174236.465989)
[52.9.64.216] out: got 16384 TXs
[52.9.64.216] out: timestampB (8, 1447174236.148859)
[52.25.82.27] out: got 16384 TXs
[52.25.82.27] out: timestampB (0, 1447174236.104547)
[52.9.74.238] out: got 16384 TXs
[52.9.74.238] out: timestampB (11, 1447174236.323449)
[52.9.74.239] out: got 16384 TXs
[52.9.74.239] out: timestampB (14, 1447174236.277392)
[52.9.74.241] out: got 16384 TXs
[52.9.74.241] out: timestampB (13, 1447174236.275758)
[52.9.74.240] out: got 16384 TXs
[52.9.74.240] out: timestampB (12, 1447174236.292754)
[52.8.92.220] out: got 16384 TXs
[52.8.92.220] out: timestampB (15, 1447174236.933796)
[52.33.103.236] out: got 16383 TXs
[52.33.103.236] out: timestampB (3, 1447174236.234446)
[52.9.72.86] out: got 16384 TXs
[52.9.72.86] out: timestampB (9, 1447174236.549497)
[52.23.168.188] out: got 16384 TXs
[52.23.168.188] out: timestampB (23, 1447174236.480353)
[52.91.97.171] out: got 16383 TXs
[52.91.97.171] out: timestampB (19, 1447174236.433668)
[107.21.6.4] out: got 16384 TXs
[107.21.6.4] out: timestampB (20, 1447174236.315515)
[52.91.78.88] out: got 16384 TXs
[52.91.78.88] out: timestampB (22, 1447174236.566906)
[54.209.228.153] out: got 16384 TXs
[54.209.228.153] out: timestampB (17, 1447174237.390597)
[107.21.5.236] out: got 16384 TXs
[107.21.5.236] out: timestampB (21, 1447174236.763660)
[54.208.194.6] out: got 16384 TXs
[54.208.194.6] out: timestampB (16, 1447174236.842926)
[54.236.248.119] out: got 16384 TXs
[54.236.248.119] out: timestampB (18, 1447174237.294098)
[52.19.164.11] out: got 16384 TXs
[52.19.164.11] out: timestampB (32, 1447174239.702999)
[52.16.85.22] out: got 16384 TXs
[52.16.85.22] out: timestampB (34, 1447174238.510210)
[52.30.176.61] out: got 16383 TXs
[52.30.176.61] out: timestampB (39, 1447174238.631008)
[52.31.39.64] out: got 16384 TXs
[52.31.39.64] out: timestampB (36, 1447174238.669191)
[52.17.24.113] out: got 16384 TXs
[52.17.24.113] out: timestampB (33, 1447174239.070428)
[52.31.41.124] out: got 16384 TXs
[52.31.41.124] out: timestampB (38, 1447174239.083645)
[52.31.164.91] out: got 16384 TXs
[52.31.164.91] out: timestampB (35, 1447174238.931820)
[52.192.55.120] out: got 16384 TXs
[52.192.55.120] out: timestampB (59, 1447174239.427800)
[52.31.124.103] out: got 16384 TXs
[52.31.124.103] out: timestampB (37, 1447174239.367277)
[52.29.43.107] out: got 16384 TXs
[52.29.43.107] out: timestampB (41, 1447174239.333931)
[52.69.156.69] out: got 16384 TXs
[52.69.156.69] out: timestampB (62, 1447174239.524682)
[52.28.65.114] out: got 16384 TXs
[52.28.65.114] out: timestampB (44, 1447174239.446174)
[52.29.95.105] out: got 16384 TXs
[52.29.95.105] out: timestampB (47, 1447174239.725532)
[52.29.145.149] out: got 16384 TXs
[52.29.145.149] out: timestampB (46, 1447174239.404829)
[52.192.140.223] out: got 16384 TXs
[52.192.140.223] out: timestampB (61, 1447174240.108240)
[52.29.43.33] out: got 16384 TXs
[52.29.43.33] out: timestampB (45, 1447174239.471392)
[52.69.197.55] out: got 16384 TXs
[52.69.197.55] out: timestampB (58, 1447174239.423330)
[52.29.143.40] out: got 16384 TXs
[52.29.143.40] out: timestampB (43, 1447174239.581229)
[52.69.246.137] out: got 16384 TXs
[52.69.246.137] out: timestampB (63, 1447174239.401519)
[52.69.97.238] out: got 16384 TXs
[52.69.97.238] out: timestampB (57, 1447174239.675457)
[52.192.75.43] out: got 16384 TXs
[52.192.75.43] out: timestampB (60, 1447174239.715558)
[52.29.120.70] out: got 16384 TXs
[52.29.120.70] out: timestampB (42, 1447174239.510574)
[52.69.80.131] out: got 16384 TXs
[52.69.80.131] out: timestampB (56, 1447174239.869475)
[52.29.137.216] out: got 16384 TXs
[52.29.137.216] out: timestampB (40, 1447174239.619438)
[54.179.164.162] out: got 16384 TXs
[54.179.164.162] out: timestampB (53, 1447174249.094847)
[54.169.246.15] out: got 16384 TXs
[54.169.246.15] out: timestampB (49, 1447174252.474155)
[54.179.157.121] out: got 16384 TXs
[54.179.157.121] out: timestampB (54, 1447174254.329796)
[54.169.246.32] out: got 16384 TXs
[54.169.246.32] out: timestampB (50, 1447174257.514618)
[54.169.212.80] out: got 16384 TXs
[54.169.212.80] out: timestampB (55, 1447174257.329259)
[54.232.199.192] out: got 16384 TXs
[54.232.199.192] out: timestampB (25, 1447174258.591091)
[54.232.250.8] out: got 16384 TXs
[54.232.250.8] out: timestampB (28, 1447174258.556068)
[54.207.93.82] out: got 16384 TXs
[54.207.93.82] out: timestampB (24, 1447174258.537853)
[54.233.97.117] out: got 16384 TXs
[54.233.97.117] out: timestampB (27, 1447174258.803745)
