[54.94.243.208] out: servers started
[52.25.56.120] out: got 1024 TXs
[52.25.56.120] out: timestampB (2, 1447170277.815002)
[52.25.82.27] out: got 1024 TXs
[52.25.82.27] out: timestampB (0, 1447170277.840016)
[52.32.155.30] out: got 1024 TXs
[52.32.155.30] out: timestampB (1, 1447170277.883396)
[52.27.237.141] out: got 1024 TXs
[52.27.237.141] out: timestampB (6, 1447170277.561288)
[52.26.214.226] out: got 1024 TXs
[52.26.214.226] out: timestampB (7, 1447170278.012155)
[52.33.208.21] out: got 1024 TXs
[52.33.208.21] out: timestampB (5, 1447170277.889812)
[52.33.103.236] out: got 1024 TXs
[52.33.103.236] out: timestampB (3, 1447170277.908012)
[52.24.127.191] out: got 1024 TXs
[52.24.127.191] out: timestampB (4, 1447170277.892968)
[52.9.74.240] out: got 1024 TXs
[52.9.74.240] out: timestampB (12, 1447170278.106798)
[52.9.72.86] out: got 1024 TXs
[52.9.72.86] out: timestampB (9, 1447170278.250381)
[52.9.64.216] out: got 1024 TXs
[52.9.64.216] out: timestampB (8, 1447170278.139532)
[52.8.19.154] out: got 1024 TXs
[52.8.19.154] out: timestampB (10, 1447170278.327165)
[52.9.74.238] out: got 1023 TXs
[52.9.74.238] out: timestampB (11, 1447170278.210385)
[52.9.74.239] out: got 1024 TXs
[52.9.74.239] out: timestampB (14, 1447170278.148326)
[52.9.74.241] out: got 1024 TXs
[52.9.74.241] out: timestampB (13, 1447170278.134785)
[52.8.92.220] out: got 1024 TXs
[52.8.92.220] out: timestampB (15, 1447170278.822289)
[54.209.228.153] out: got 1024 TXs
[54.209.228.153] out: timestampB (17, 1447170279.043177)
[52.91.97.171] out: got 1024 TXs
[52.91.97.171] out: timestampB (19, 1447170278.288230)
[107.21.5.236] out: got 1024 TXs
[107.21.5.236] out: timestampB (21, 1447170278.376769)
[54.236.248.119] out: got 1024 TXs
[54.236.248.119] out: timestampB (18, 1447170278.322953)
[107.21.6.4] out: got 1024 TXs
[107.21.6.4] out: timestampB (20, 1447170278.319260)
[54.208.194.6] out: got 1024 TXs
[54.208.194.6] out: timestampB (16, 1447170278.354458)
[52.23.168.188] out: got 1024 TXs
[52.23.168.188] out: timestampB (23, 1447170278.553467)
[52.91.78.88] out: got 1024 TXs
[52.91.78.88] out: timestampB (22, 1447170278.851375)
[52.31.41.124] out: got 1024 TXs
[52.31.41.124] out: timestampB (38, 1447170280.778391)
[52.30.176.61] out: got 1024 TXs
[52.30.176.61] out: timestampB (39, 1447170280.811613)
[52.31.164.91] out: got 1024 TXs
[52.31.164.91] out: timestampB (35, 1447170280.789855)
[52.31.124.103] out: got 1024 TXs
[52.31.124.103] out: timestampB (37, 1447170280.776333)
[52.19.164.11] out: got 1024 TXs
[52.19.164.11] out: timestampB (32, 1447170281.758400)
[52.31.39.64] out: got 1024 TXs
[52.31.39.64] out: timestampB (36, 1447170280.911713)
[52.16.85.22] out: got 1024 TXs
[52.16.85.22] out: timestampB (34, 1447170281.039656)
[52.17.24.113] out: got 1024 TXs
[52.17.24.113] out: timestampB (33, 1447170281.384005)
[52.192.75.43] out: got 1024 TXs
[52.192.75.43] out: timestampB (60, 1447170281.428579)
[52.69.197.55] out: got 1024 TXs
[52.69.197.55] out: timestampB (58, 1447170281.413235)
[52.69.156.69] out: got 1024 TXs
[52.69.156.69] out: timestampB (62, 1447170281.513232)
[52.69.97.238] out: got 1024 TXs
[52.69.97.238] out: timestampB (57, 1447170281.461853)
[52.69.80.131] out: got 1024 TXs
[52.69.80.131] out: timestampB (56, 1447170281.669140)
[52.192.55.120] out: got 1024 TXs
[52.192.55.120] out: timestampB (59, 1447170281.591448)
[52.192.140.223] out: got 1024 TXs
[52.192.140.223] out: timestampB (61, 1447170282.192101)
[52.29.120.70] out: got 1024 TXs
[52.29.120.70] out: timestampB (42, 1447170281.693550)
[52.29.43.107] out: got 1024 TXs
[52.29.43.107] out: timestampB (41, 1447170281.677254)
[52.28.65.114] out: got 1024 TXs
[52.28.65.114] out: timestampB (44, 1447170281.739735)
[52.29.143.40] out: got 1024 TXs
[52.29.143.40] out: timestampB (43, 1447170281.759594)
[52.29.95.105] out: got 1024 TXs
[52.29.95.105] out: timestampB (47, 1447170282.150001)
[52.29.137.216] out: got 1024 TXs
[52.29.137.216] out: timestampB (40, 1447170281.785164)
[52.69.246.137] out: got 1024 TXs
[52.69.246.137] out: timestampB (63, 1447170281.819695)
[52.29.145.149] out: got 1024 TXs
[52.29.145.149] out: timestampB (46, 1447170281.879761)
[52.29.43.33] out: got 1024 TXs
[52.29.43.33] out: timestampB (45, 1447170281.935745)
[54.169.246.15] out: got 1024 TXs
[54.169.246.15] out: timestampB (49, 1447170284.794353)
[54.169.212.80] out: got 1024 TXs
[54.169.212.80] out: timestampB (55, 1447170284.361780)
[54.169.248.67] out: got 1024 TXs
[54.169.248.67] out: timestampB (48, 1447170284.816490)
[54.169.246.32] out: got 1024 TXs
[54.169.246.32] out: timestampB (50, 1447170284.869769)
[54.179.135.65] out: got 1024 TXs
[54.179.135.65] out: timestampB (52, 1447170284.732518)
[54.169.238.113] out: got 1024 TXs
[54.169.238.113] out: timestampB (51, 1447170284.986613)
[54.233.107.89] out: got 1024 TXs
[54.233.107.89] out: timestampB (29, 1447170285.060620)
[54.233.104.96] out: got 1024 TXs
[54.233.104.96] out: timestampB (30, 1447170285.007193)
[54.232.218.195] out: got 1024 TXs
[54.232.218.195] out: timestampB (31, 1447170285.078712)
[54.179.164.162] out: got 1024 TXs
[54.179.164.162] out: timestampB (53, 1447170285.230819)
[54.233.97.117] out: got 1024 TXs
[54.233.97.117] out: timestampB (27, 1447170285.355687)
[54.207.93.82] out: got 1024 TXs
[54.207.93.82] out: timestampB (24, 1447170285.359903)
[54.179.157.121] out: got 1024 TXs
[54.179.157.121] out: timestampB (54, 1447170285.603242)
[54.232.199.192] out: got 1024 TXs
[54.232.199.192] out: timestampB (25, 1447170285.715449)
[54.232.250.8] out: got 1024 TXs
[54.232.250.8] out: timestampB (28, 1447170285.612800)
[54.94.243.208] out: got 1024 TXs
[54.94.243.208] out: timestampB (26, 1447170286.665995)
[107.21.5.236] out: [21] synced transactions.
[107.21.5.236] out: timestampE (21, 1447170298.438262)
[107.21.6.4] out: [20] synced transactions.
[107.21.6.4] out: timestampE (20, 1447170298.374485)
[52.91.97.171] out: [19] synced transactions.
[52.91.97.171] out: timestampE (19, 1447170298.397836)
[54.236.248.119] out: [18] synced transactions.
[54.236.248.119] out: timestampE (18, 1447170298.410912)
[54.208.194.6] out: [16] synced transactions.
[54.208.194.6] out: timestampE (16, 1447170298.455728)
[52.24.127.191] out: [4] synced transactions.
[52.24.127.191] out: timestampE (4, 1447170298.444372)
[52.9.74.241] out: [13] synced transactions.
[52.9.74.241] out: timestampE (13, 1447170298.553051)
[54.209.228.153] out: [17] synced transactions.
[54.209.228.153] out: timestampE (17, 1447170299.303007)
[52.29.143.40] out: [43] synced transactions.
[52.29.143.40] out: timestampE (43, 1447170298.555184)
[52.27.237.141] out: [6] synced transactions.
[52.27.237.141] out: timestampE (6, 1447170298.243001)
[52.91.78.88] out: [22] synced transactions.
[52.91.78.88] out: timestampE (22, 1447170298.634050)
[52.9.74.239] out: [14] synced transactions.
[52.9.74.239] out: timestampE (14, 1447170298.608559)
[52.29.95.105] out: [47] synced transactions.
[52.29.95.105] out: timestampE (47, 1447170298.869359)
[52.31.124.103] out: [37] synced transactions.
[52.31.124.103] out: timestampE (37, 1447170298.511979)
[52.16.85.22] out: [34] synced transactions.
[52.16.85.22] out: timestampE (34, 1447170298.482570)
[52.9.72.86] out: [9] synced transactions.
[52.9.72.86] out: timestampE (9, 1447170298.783280)
[52.9.74.240] out: [12] synced transactions.
[52.9.74.240] out: timestampE (12, 1447170298.644541)
[52.29.137.216] out: [40] synced transactions.
[52.29.137.216] out: timestampE (40, 1447170298.518657)
[52.29.120.70] out: [42] synced transactions.
[52.25.56.120] out: [2] synced transactions.
[52.29.120.70] out: timestampE (42, 1447170298.607214)
[52.25.56.120] out: timestampE (2, 1447170298.638575)
[52.33.103.236] out: [3] synced transactions.
[52.33.103.236] out: timestampE (3, 1447170298.659669)
[52.29.145.149] out: [46] synced transactions.
[52.29.145.149] out: timestampE (46, 1447170298.593938)
[52.25.82.27] out: [0] synced transactions.
[52.25.82.27] out: timestampE (0, 1447170298.663166)
[52.28.65.114] out: [44] synced transactions.
[52.28.65.114] out: timestampE (44, 1447170298.707497)
[52.29.43.33] out: [45] synced transactions.
[52.29.43.33] out: timestampE (45, 1447170298.674051)
[52.29.43.107] out: [41] synced transactions.
[52.29.43.107] out: timestampE (41, 1447170298.654218)
[52.33.208.21] out: [5] synced transactions.
[52.33.208.21] out: timestampE (5, 1447170298.729832)
[52.23.168.188] out: [23] synced transactions.
[52.23.168.188] out: timestampE (23, 1447170298.777800)
[52.8.92.220] out: [15] synced transactions.
[52.8.92.220] out: timestampE (15, 1447170299.352143)
[52.31.39.64] out: [36] synced transactions.
[52.31.39.64] out: timestampE (36, 1447170298.637026)
[52.32.155.30] out: [1] synced transactions.
[52.32.155.30] out: timestampE (1, 1447170298.780443)
[52.9.74.238] out: [11] synced transactions.
[52.9.74.238] out: timestampE (11, 1447170298.868287)
[52.26.214.226] out: [7] synced transactions.
[52.26.214.226] out: timestampE (7, 1447170298.949746)
[52.9.64.216] out: [8] synced transactions.
[52.9.64.216] out: timestampE (8, 1447170298.868867)
[52.69.80.131] out: [56] synced transactions.
[52.69.80.131] out: timestampE (56, 1447170299.048047)
[52.17.24.113] out: [33] synced transactions.
[52.17.24.113] out: timestampE (33, 1447170298.956516)
[52.192.75.43] out: [60] synced transactions.
[52.192.75.43] out: timestampE (60, 1447170299.087644)
[52.8.19.154] out: [10] synced transactions.
[52.8.19.154] out: timestampE (10, 1447170299.634739)
[52.19.164.11] out: [32] synced transactions.
[52.19.164.11] out: timestampE (32, 1447170300.370802)
[52.31.164.91] out: [35] synced transactions.
[52.31.164.91] out: timestampE (35, 1447170299.662289)
[52.30.176.61] out: [39] synced transactions.
[52.30.176.61] out: timestampE (39, 1447170300.034584)
[52.69.197.55] out: [58] synced transactions.
[52.69.197.55] out: timestampE (58, 1447170300.141430)
[52.69.97.238] out: [57] synced transactions.
[52.69.97.238] out: timestampE (57, 1447170300.370649)
[52.69.156.69] out: [62] synced transactions.
[52.69.156.69] out: timestampE (62, 1447170300.492592)
[52.192.55.120] out: [59] synced transactions.
[52.192.55.120] out: timestampE (59, 1447170300.625348)
