[54.169.246.15] out: servers started
[52.24.127.191] out: got 4096 TXs
[52.24.127.191] out: timestampB (4, 1447170956.220992)
[52.25.82.27] out: got 4096 TXs
[52.25.82.27] out: timestampB (0, 1447170956.300329)
[52.32.155.30] out: got 4096 TXs
[52.32.155.30] out: timestampB (1, 1447170956.355500)
[52.27.237.141] out: got 4096 TXs
[52.27.237.141] out: timestampB (6, 1447170956.003508)
[52.33.103.236] out: got 4096 TXs
[52.33.103.236] out: timestampB (3, 1447170956.348001)
[52.33.208.21] out: got 4096 TXs
[52.33.208.21] out: timestampB (5, 1447170956.339376)
[52.26.214.226] out: got 4096 TXs
[52.26.214.226] out: timestampB (7, 1447170956.479629)
[52.25.56.120] out: got 4096 TXs
[52.25.56.120] out: timestampB (2, 1447170956.387948)
[52.9.74.240] out: got 4096 TXs
[52.9.74.240] out: timestampB (12, 1447170956.487772)
[52.9.74.238] out: got 4096 TXs
[52.9.74.238] out: timestampB (11, 1447170956.571969)
[52.9.74.239] out: got 4096 TXs
[52.9.74.239] out: timestampB (14, 1447170956.510900)
[52.9.74.241] out: got 4096 TXs
[52.9.74.241] out: timestampB (13, 1447170956.509356)
[52.9.72.86] out: got 4096 TXs
[52.9.72.86] out: timestampB (9, 1447170956.633137)
[52.8.92.220] out: got 4096 TXs
[52.8.92.220] out: timestampB (15, 1447170957.135073)
[52.8.19.154] out: got 4096 TXs
[52.8.19.154] out: timestampB (10, 1447170956.790481)
[52.9.64.216] out: got 4096 TXs
[52.9.64.216] out: timestampB (8, 1447170956.741869)
[52.91.97.171] out: got 4096 TXs
[52.91.97.171] out: timestampB (19, 1447170956.700593)
[107.21.6.4] out: got 4096 TXs
[107.21.6.4] out: timestampB (20, 1447170956.660084)
[52.91.78.88] out: got 4096 TXs
[52.91.78.88] out: timestampB (22, 1447170956.796968)
[107.21.5.236] out: got 4096 TXs
[107.21.5.236] out: timestampB (21, 1447170956.873564)
[54.209.228.153] out: got 4096 TXs
[54.209.228.153] out: timestampB (17, 1447170957.632799)
[54.208.194.6] out: got 4096 TXs
[54.208.194.6] out: timestampB (16, 1447170956.787582)
[52.23.168.188] out: got 4096 TXs
