[54.232.199.192] out: servers started
[52.27.237.141] out: got 2048 TXs
[52.27.237.141] out: timestampB (2, 1447168304.477454)
[52.24.127.191] out: got 2048 TXs
[52.24.127.191] out: timestampB (0, 1447168304.747451)
[52.8.92.220] out: got 2048 TXs
[52.8.92.220] out: timestampB (7, 1447168305.350718)
[52.33.208.21] out: got 2048 TXs
[52.33.208.21] out: timestampB (1, 1447168304.815442)
[52.9.64.216] out: got 2048 TXs
[52.9.64.216] out: timestampB (4, 1447168304.867091)
[52.9.72.86] out: got 2048 TXs
[52.9.72.86] out: timestampB (5, 1447168304.909005)
[52.26.214.226] out: got 2048 TXs
[52.26.214.226] out: timestampB (3, 1447168304.938158)
[52.23.168.188] out: got 2048 TXs
[52.23.168.188] out: timestampB (11, 1447168305.247518)
[54.208.194.6] out: got 2048 TXs
[54.208.194.6] out: timestampB (8, 1447168305.209650)
[52.91.78.88] out: got 2048 TXs
[52.91.78.88] out: timestampB (10, 1447168305.277706)
[54.209.228.153] out: got 2048 TXs
[54.209.228.153] out: timestampB (9, 1447168305.954711)
[52.8.19.154] out: got 2048 TXs
[52.8.19.154] out: timestampB (6, 1447168305.509133)
[52.16.85.22] out: got 2048 TXs
[52.16.85.22] out: timestampB (18, 1447168306.905146)
[52.19.164.11] out: got 2048 TXs
[52.19.164.11] out: timestampB (16, 1447168307.774392)
[52.17.24.113] out: got 2048 TXs
[52.17.24.113] out: timestampB (17, 1447168306.986988)
[52.31.164.91] out: got 2048 TXs
[52.31.164.91] out: timestampB (19, 1447168307.004673)
[52.69.246.137] out: got 2048 TXs
[52.69.246.137] out: timestampB (31, 1447168307.055280)
[52.192.140.223] out: got 2048 TXs
[52.192.140.223] out: timestampB (29, 1447168307.644002)
[52.69.80.131] out: got 2048 TXs
[52.69.80.131] out: timestampB (28, 1447168307.236402)
[52.69.156.69] out: got 2048 TXs
[52.69.156.69] out: timestampB (30, 1447168307.260485)
[52.28.65.114] out: got 2048 TXs
[52.28.65.114] out: timestampB (20, 1447168307.374411)
[52.29.95.105] out: got 2048 TXs
[52.29.95.105] out: timestampB (23, 1447168307.600301)
[52.29.43.33] out: got 2048 TXs
[52.29.43.33] out: timestampB (21, 1447168307.356343)
[52.29.145.149] out: got 2048 TXs
[52.29.145.149] out: timestampB (22, 1447168307.420574)
[54.179.157.121] out: got 2048 TXs
[54.179.157.121] out: timestampB (26, 1447168308.976145)
[54.179.164.162] out: got 2048 TXs
[54.179.164.162] out: timestampB (25, 1447168309.004156)
[54.169.212.80] out: got 2048 TXs
[54.169.212.80] out: timestampB (27, 1447168308.796936)
[54.94.243.208] out: got 2048 TXs
[54.94.243.208] out: timestampB (14, 1447168309.792822)
[54.233.97.117] out: got 2048 TXs
[54.233.97.117] out: timestampB (15, 1447168309.439326)
[54.179.135.65] out: got 2048 TXs
[54.179.135.65] out: timestampB (24, 1447168309.227039)
[54.232.199.192] out: got 2048 TXs
[54.232.199.192] out: timestampB (13, 1447168309.513246)
[54.207.93.82] out: got 2048 TXs
[54.207.93.82] out: timestampB (12, 1447168309.471338)
[52.27.237.141] out: [2] synced transactions.
[52.27.237.141] out: timestampE (2, 1447168318.171702)
[52.9.72.86] out: [5] synced transactions.
[52.9.72.86] out: timestampE (5, 1447168318.588045)
[52.91.78.88] out: [10] synced transactions.
[52.91.78.88] out: timestampE (10, 1447168318.524617)
[52.24.127.191] out: [0] synced transactions.
[52.24.127.191] out: timestampE (0, 1447168318.440021)
[52.23.168.188] out: [11] synced transactions.
[52.23.168.188] out: timestampE (11, 1447168318.535664)
[52.9.64.216] out: [4] synced transactions.
[52.9.64.216] out: timestampE (4, 1447168318.589987)
[52.8.92.220] out: [7] synced transactions.
[52.8.92.220] out: timestampE (7, 1447168319.089724)
[52.26.214.226] out: [3] synced transactions.
[52.26.214.226] out: timestampE (3, 1447168318.625159)
[54.209.228.153] out: [9] synced transactions.
[54.209.228.153] out: timestampE (9, 1447168319.244545)
[52.8.19.154] out: [6] synced transactions.
[52.8.19.154] out: timestampE (6, 1447168318.712219)
[52.16.85.22] out: [18] synced transactions.
[52.16.85.22] out: timestampE (18, 1447168318.485877)
[52.29.95.105] out: [23] synced transactions.
[52.29.95.105] out: timestampE (23, 1447168318.813386)
[52.33.208.21] out: [1] synced transactions.
[52.33.208.21] out: timestampE (1, 1447168318.595392)
[52.28.65.114] out: [20] synced transactions.
[52.28.65.114] out: timestampE (20, 1447168318.601010)
[52.29.145.149] out: [22] synced transactions.
[52.29.145.149] out: timestampE (22, 1447168318.516014)
[52.192.140.223] out: [29] synced transactions.
[52.192.140.223] out: timestampE (29, 1447168319.177145)
[52.69.80.131] out: [28] synced transactions.
[52.69.80.131] out: timestampE (28, 1447168318.752245)
[52.31.164.91] out: [19] synced transactions.
[52.31.164.91] out: timestampE (19, 1447168318.624511)
[52.69.156.69] out: [30] synced transactions.
[52.69.156.69] out: timestampE (30, 1447168318.688572)
[52.69.246.137] out: [31] synced transactions.
[52.69.246.137] out: timestampE (31, 1447168318.628407)
[52.19.164.11] out: [16] synced transactions.
[52.19.164.11] out: timestampE (16, 1447168319.472037)
[54.179.157.121] out: [26] synced transactions.
[54.179.157.121] out: timestampE (26, 1447168318.860796)
[54.179.164.162] out: [25] synced transactions.
[54.179.164.162] out: timestampE (25, 1447168319.003894)
[54.208.194.6] out: [8] synced transactions.
[54.208.194.6] out: timestampE (8, 1447168319.030120)
[54.169.212.80] out: [27] synced transactions.
[54.169.212.80] out: timestampE (27, 1447168318.615287)
[52.29.43.33] out: [21] synced transactions.
[52.29.43.33] out: timestampE (21, 1447168319.067813)
[54.94.243.208] out: [14] synced transactions.
[54.94.243.208] out: timestampE (14, 1447168319.728842)
[54.232.199.192] out: [13] synced transactions.
[54.232.199.192] out: timestampE (13, 1447168319.629436)
[54.207.93.82] out: [12] synced transactions.
[54.207.93.82] out: timestampE (12, 1447168320.065951)
[54.179.135.65] out: [24] synced transactions.
[54.179.135.65] out: timestampE (24, 1447168319.918637)
[54.233.97.117] out: [15] synced transactions.
[54.233.97.117] out: timestampE (15, 1447168320.251487)
[52.17.24.113] out: [17] synced transactions.
[52.17.24.113] out: timestampE (17, 1447168321.621095)

[54.232.199.192] out: servers started
[52.27.237.141] out: got 2048 TXs
[52.27.237.141] out: timestampB (2, 1447168365.382261)
[52.8.19.154] out: got 2048 TXs
[52.8.19.154] out: timestampB (6, 1447168365.839401)
[52.9.72.86] out: got 2048 TXs
[52.9.72.86] out: timestampB (5, 1447168365.784726)
[52.8.92.220] out: got 2048 TXs
[52.8.92.220] out: timestampB (7, 1447168366.247983)
[52.24.127.191] out: got 2048 TXs
[52.24.127.191] out: timestampB (0, 1447168365.640422)
[52.33.208.21] out: got 2048 TXs
[52.33.208.21] out: timestampB (1, 1447168365.718879)
[52.9.64.216] out: got 2048 TXs
[52.9.64.216] out: timestampB (4, 1447168365.759317)
[52.26.214.226] out: got 2048 TXs
[52.26.214.226] out: timestampB (3, 1447168365.837331)
[54.209.228.153] out: got 2048 TXs
[54.209.228.153] out: timestampB (9, 1447168366.857789)
[52.91.78.88] out: got 2048 TXs
[52.91.78.88] out: timestampB (10, 1447168366.180091)
[52.23.168.188] out: got 2048 TXs
[52.23.168.188] out: timestampB (11, 1447168366.184902)
[54.208.194.6] out: got 2048 TXs
[54.208.194.6] out: timestampB (8, 1447168366.260602)
[52.16.85.22] out: got 2048 TXs
[52.16.85.22] out: timestampB (18, 1447168367.732118)
[52.17.24.113] out: got 2048 TXs
[52.17.24.113] out: timestampB (17, 1447168367.915084)
[52.192.140.223] out: got 2048 TXs
[52.192.140.223] out: timestampB (29, 1447168368.445070)
[52.31.164.91] out: got 2048 TXs
[52.31.164.91] out: timestampB (19, 1447168367.885682)
[52.69.246.137] out: got 2048 TXs
[52.69.246.137] out: timestampB (31, 1447168367.926837)
[52.19.164.11] out: got 2048 TXs
[52.19.164.11] out: timestampB (16, 1447168368.766287)
[52.69.156.69] out: got 2048 TXs
[52.69.156.69] out: timestampB (30, 1447168368.031722)
[52.69.80.131] out: got 2048 TXs
[52.69.80.131] out: timestampB (28, 1447168368.124617)
[52.29.95.105] out: got 2048 TXs
[52.29.95.105] out: timestampB (23, 1447168368.417760)
[52.29.145.149] out: got 2048 TXs
[52.29.145.149] out: timestampB (22, 1447168368.203734)
[52.29.43.33] out: got 2048 TXs
[52.29.43.33] out: timestampB (21, 1447168368.219238)
[52.28.65.114] out: got 2048 TXs
[52.28.65.114] out: timestampB (20, 1447168368.314629)
[54.179.164.162] out: got 2048 TXs
[54.179.164.162] out: timestampB (25, 1447168369.916393)
[54.169.212.80] out: got 2048 TXs
[54.169.212.80] out: timestampB (27, 1447168369.498225)
[54.179.135.65] out: got 2048 TXs
[54.179.135.65] out: timestampB (24, 1447168369.828503)
[54.94.243.208] out: got 2048 TXs
[54.94.243.208] out: timestampB (14, 1447168370.685974)
[54.179.157.121] out: got 2048 TXs
[54.179.157.121] out: timestampB (26, 1447168370.236460)
[54.207.93.82] out: got 2048 TXs
[54.207.93.82] out: timestampB (12, 1447168370.308713)
[54.232.199.192] out: got 2048 TXs
[54.232.199.192] out: timestampB (13, 1447168370.429736)
[54.233.97.117] out: got 2048 TXs
[54.233.97.117] out: timestampB (15, 1447168370.498967)
[52.9.72.86] out: [5] synced transactions.
[52.9.72.86] out: timestampE (5, 1447168378.302874)
[52.27.237.141] out: [2] synced transactions.
[52.27.237.141] out: timestampE (2, 1447168377.922064)
[52.8.92.220] out: [7] synced transactions.
[52.8.92.220] out: timestampE (7, 1447168378.759101)
[52.9.64.216] out: [4] synced transactions.
[52.9.64.216] out: timestampE (4, 1447168378.259774)
[52.8.19.154] out: [6] synced transactions.
[52.8.19.154] out: timestampE (6, 1447168378.381097)
[52.23.168.188] out: [11] synced transactions.
[52.23.168.188] out: timestampE (11, 1447168378.242815)
[52.24.127.191] out: [0] synced transactions.
[52.24.127.191] out: timestampE (0, 1447168378.157846)
[52.33.208.21] out: [1] synced transactions.
[52.33.208.21] out: timestampE (1, 1447168378.238652)
[52.91.78.88] out: [10] synced transactions.
[52.91.78.88] out: timestampE (10, 1447168378.247218)
[54.209.228.153] out: [9] synced transactions.
[54.209.228.153] out: timestampE (9, 1447168378.942219)
[52.16.85.22] out: [18] synced transactions.
[52.16.85.22] out: timestampE (18, 1447168378.207510)
[52.19.164.11] out: [16] synced transactions.
[52.19.164.11] out: timestampE (16, 1447168379.048118)
[52.29.145.149] out: [22] synced transactions.
[52.29.145.149] out: timestampE (22, 1447168378.230984)
[52.28.65.114] out: [20] synced transactions.
[52.28.65.114] out: timestampE (20, 1447168378.294674)
[52.29.43.33] out: [21] synced transactions.
[52.29.43.33] out: timestampE (21, 1447168378.234148)
[52.31.164.91] out: [19] synced transactions.
[52.31.164.91] out: timestampE (19, 1447168378.242079)
[52.29.95.105] out: [23] synced transactions.
[52.29.95.105] out: timestampE (23, 1447168378.530302)
[52.17.24.113] out: [17] synced transactions.
[52.17.24.113] out: timestampE (17, 1447168378.265253)
[52.192.140.223] out: [29] synced transactions.
[52.192.140.223] out: timestampE (29, 1447168378.855711)
[52.69.156.69] out: [30] synced transactions.
[52.69.156.69] out: timestampE (30, 1447168378.423350)
[52.69.80.131] out: [28] synced transactions.
[52.69.80.131] out: timestampE (28, 1447168378.625890)
[52.69.246.137] out: [31] synced transactions.
[52.69.246.137] out: timestampE (31, 1447168378.489352)
[52.26.214.226] out: [3] synced transactions.
[52.26.214.226] out: timestampE (3, 1447168378.746345)
[54.208.194.6] out: [8] synced transactions.
[54.208.194.6] out: timestampE (8, 1447168378.974142)
[54.179.164.162] out: [25] synced transactions.
[54.179.164.162] out: timestampE (25, 1447168379.528959)
[54.179.157.121] out: [26] synced transactions.
[54.179.157.121] out: timestampE (26, 1447168379.739099)
[54.94.243.208] out: [14] synced transactions.
[54.94.243.208] out: timestampE (14, 1447168381.072642)
[54.169.212.80] out: [27] synced transactions.
[54.169.212.80] out: timestampE (27, 1447168380.386359)
[54.232.199.192] out: [13] synced transactions.
[54.232.199.192] out: timestampE (13, 1447168381.021618)
[54.233.97.117] out: [15] synced transactions.
[54.233.97.117] out: timestampE (15, 1447168381.525190)
[54.179.135.65] out: [24] synced transactions.
[54.179.135.65] out: timestampE (24, 1447168381.420683)
[54.207.93.82] out: [12] synced transactions.
[54.207.93.82] out: timestampE (12, 1447168382.187562)

[54.233.97.117] out: servers started
[52.24.127.191] out: got 2048 TXs
[52.24.127.191] out: timestampB (0, 1447168413.270696)
[52.9.72.86] out: got 2048 TXs
[52.9.72.86] out: timestampB (5, 1447168413.467548)
[52.27.237.141] out: got 2048 TXs
[52.27.237.141] out: timestampB (2, 1447168413.069281)
[52.8.92.220] out: got 2048 TXs
[52.8.92.220] out: timestampB (7, 1447168413.928215)
[52.8.19.154] out: got 2048 TXs
[52.8.19.154] out: timestampB (6, 1447168413.542389)
[52.9.64.216] out: got 2048 TXs
[52.9.64.216] out: timestampB (4, 1447168413.427549)
[52.33.208.21] out: got 2048 TXs
[52.33.208.21] out: timestampB (1, 1447168413.395292)
[52.26.214.226] out: got 2048 TXs
[52.26.214.226] out: timestampB (3, 1447168413.512737)
[52.23.168.188] out: got 2048 TXs
[52.23.168.188] out: timestampB (11, 1447168413.848685)
[52.91.78.88] out: got 2048 TXs
[52.91.78.88] out: timestampB (10, 1447168413.852080)
[54.208.194.6] out: got 2048 TXs
[54.208.194.6] out: timestampB (8, 1447168413.799781)
[54.209.228.153] out: got 2048 TXs
[54.209.228.153] out: timestampB (9, 1447168414.580756)
[52.16.85.22] out: got 2048 TXs
[52.16.85.22] out: timestampB (18, 1447168415.421063)
[52.17.24.113] out: got 2048 TXs
[52.17.24.113] out: timestampB (17, 1447168415.544289)
[52.31.164.91] out: got 2048 TXs
[52.31.164.91] out: timestampB (19, 1447168415.525241)
[52.192.140.223] out: got 2048 TXs
[52.192.140.223] out: timestampB (29, 1447168416.187453)
[52.69.156.69] out: got 2048 TXs
[52.69.156.69] out: timestampB (30, 1447168415.706599)
[52.69.80.131] out: got 2048 TXs
[52.69.80.131] out: timestampB (28, 1447168415.848987)
[52.29.95.105] out: got 2048 TXs
[52.29.95.105] out: timestampB (23, 1447168416.109169)
[52.69.246.137] out: got 2048 TXs
[52.69.246.137] out: timestampB (31, 1447168415.784417)
[52.28.65.114] out: got 2048 TXs
[52.28.65.114] out: timestampB (20, 1447168415.882158)
[52.19.164.11] out: got 2048 TXs
[52.19.164.11] out: timestampB (16, 1447168416.668160)
[52.29.145.149] out: got 2048 TXs
[52.29.145.149] out: timestampB (22, 1447168415.992326)
[52.29.43.33] out: got 2048 TXs
[52.29.43.33] out: timestampB (21, 1447168415.979350)
[54.179.157.121] out: got 2048 TXs
[54.179.157.121] out: timestampB (26, 1447168417.507325)
[54.179.164.162] out: got 2048 TXs
[54.179.164.162] out: timestampB (25, 1447168417.640848)
[54.169.212.80] out: got 2048 TXs
[54.169.212.80] out: timestampB (27, 1447168417.193036)
[54.179.135.65] out: got 2048 TXs
[54.179.135.65] out: timestampB (24, 1447168417.525241)
[54.207.93.82] out: got 2048 TXs
[54.207.93.82] out: timestampB (12, 1447168417.805493)
[54.232.199.192] out: got 2048 TXs
[54.232.199.192] out: timestampB (13, 1447168417.953180)
[54.94.243.208] out: got 2048 TXs
[54.94.243.208] out: timestampB (14, 1447168418.697483)
[54.233.97.117] out: got 2048 TXs
[54.233.97.117] out: timestampB (15, 1447168418.648700)
[52.27.237.141] out: [2] synced transactions.
[52.27.237.141] out: timestampE (2, 1447168426.033763)
[52.24.127.191] out: [0] synced transactions.
[52.24.127.191] out: timestampE (0, 1447168426.298634)
[52.33.208.21] out: [1] synced transactions.
[52.33.208.21] out: timestampE (1, 1447168426.400404)
